Tenure,WarehouseToHome,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,DaySinceLastOrder,CashbackAmount,Churn,Engagement_Score,Cashback_Per_Order,Address_Stability,Device_Per_Tenure,Churn_Probability,Churn_Percentage,Risk_Level
10.0,8.0,4,laptop & accessory,3,single,8,0,1.0,193.15,0,5.0,17.55909090909091,0.7272727272727273,0.36363636363636365,0.029729631753701736,2.9729631753701735,Low
9.0,21.0,5,watch,1,married,1,1,3.0,121.68,0,2.25,12.168000000000001,0.1,0.5,0.12191598395323693,12.191598395323693,Low
8.0,22.0,4,fashion,2,divorced,3,0,6.0,204.78,1,1.1428571428571428,22.753333333333334,0.3333333333333333,0.4444444444444444,0.17925375309882732,17.92537530988273,Low
19.0,27.0,4,grocery,1,married,2,1,11.0,259.96,0,1.5833333333333333,12.998,0.1,0.2,0.03760389762237864,3.760389762237864,Low
0.0,18.0,1,watch,4,single,2,0,0.0,127.16,1,0.0,127.16,2.0,1.0,0.6307542711768972,63.07542711768972,Medium
1.0,33.0,5,laptop & accessory,5,single,7,0,2.0,191.96,1,0.3333333333333333,95.98,3.5,2.5,0.7788842001339694,77.88842001339694,High
3.0,22.0,3,laptop & accessory,3,married,9,0,2.0,153.01,0,1.0,38.2525,2.25,0.75,0.03520715329423833,3.520715329423833,Low
30.0,9.0,1,watch,5,married,5,1,0.0,126.7,0,30.0,4.087096774193548,0.16129032258064516,0.03225806451612903,0.0319822493831929,3.19822493831929,Low
5.0,14.0,3,fashion,1,single,2,0,7.0,189.98,0,0.625,31.66333333333333,0.3333333333333333,0.5,0.05634050365303276,5.634050365303276,Low
9.0,12.0,4,fashion,4,single,2,0,14.0,205.95,0,0.6,20.595,0.2,0.4,0.060697466213652976,6.069746621365297,Low
18.0,26.0,3,laptop & accessory,3,single,9,0,1.0,148.5,0,9.0,7.815789473684211,0.47368421052631576,0.15789473684210525,0.030939008611735867,3.0939008611735868,Low
16.0,17.0,3,fashion,3,married,2,0,9.0,175.1,0,1.6,10.299999999999999,0.11764705882352941,0.17647058823529413,0.02567453050387611,2.567453050387611,Low
0.0,13.0,1,watch,3,single,4,1,3.0,124.32,1,0.0,124.32,4.0,1.0,0.7353445133424286,73.53445133424286,High
7.0,6.0,4,fashion,5,married,10,0,6.0,204.82,1,1.0,25.6025,1.25,0.5,0.17559139009486996,17.559139009486994,Low
1.0,17.0,5,fashion,5,married,11,0,3.0,228.06,1,0.25,114.03,5.5,2.5,0.7653690895441112,76.53690895441112,High
12.0,6.0,1,fashion,1,married,1,0,7.0,196.13,0,1.5,15.086923076923076,0.07692307692307693,0.07692307692307693,0.02132315082883776,2.132315082883776,Low
30.0,11.0,4,fashion,4,married,3,1,4.0,205.52,0,6.0,6.629677419354839,0.0967741935483871,0.12903225806451613,0.016243445195812486,1.6243445195812487,Low
11.0,17.0,2,fashion,1,married,3,1,9.0,262.44,0,1.1,21.87,0.25,0.16666666666666666,0.024219126678223048,2.421912667822305,Low
0.0,13.0,4,watch,4,divorced,6,0,1.0,125.46,1,0.0,125.46,6.0,4.0,0.7628534894779391,76.2853489477939,High
0.0,13.0,4,watch,1,married,6,0,3.0,123.67,1,0.0,123.67,6.0,4.0,0.7050298371955384,70.50298371955384,High
0.0,13.0,3,watch,5,married,4,0,0.0,123.22,0,0.0,123.22,4.0,3.0,0.7291305048264103,72.91305048264103,High
24.0,31.0,4,grocery,3,married,5,1,6.0,264.73,0,3.4285714285714284,10.5892,0.2,0.16,0.016748852906840382,1.6748852906840381,Low
9.0,6.0,4,watch,5,married,2,0,2.0,122.18,0,3.0,12.218,0.2,0.4,0.03621316755133762,3.621316755133762,Low
0.0,9.0,3,laptop & accessory,5,divorced,2,1,3.0,141.94,0,0.0,141.94,2.0,3.0,0.5288672849225813,52.88672849225813,Medium
1.0,7.0,4,mobile phone,1,married,11,1,3.0,172.87,1,0.25,86.435,5.5,2.0,0.7631888990494796,76.31888990494797,High
4.0,18.0,3,mobile phone,1,married,9,1,2.0,139.29,0,1.3333333333333333,27.857999999999997,1.8,0.6,0.26078081508203643,26.078081508203642,Low
18.0,7.0,4,fashion,3,married,4,0,4.0,207.48,0,3.6,10.92,0.21052631578947367,0.21052631578947367,0.024716497740984122,2.4716497740984122,Low
15.0,7.0,2,fashion,5,married,3,0,8.0,208.92,0,1.6666666666666667,13.0575,0.1875,0.125,0.0199269898617651,1.9926989861765099,Low
17.0,21.0,4,grocery,5,married,8,0,1.0,296.59,0,8.5,16.47722222222222,0.4444444444444444,0.2222222222222222,0.020006155463505947,2.000615546350595,Low
9.0,7.0,4,watch,3,married,2,0,0.0,120.08,0,9.0,12.008,0.2,0.4,0.24301565811711318,24.301565811711317,Low
4.0,15.0,4,fashion,3,married,7,0,8.0,197.64,0,0.4444444444444444,39.528,1.4,0.8,0.09768707973261366,9.768707973261366,Low
5.0,9.0,4,mobile phone,1,married,2,1,3.0,151.95,0,1.25,25.325,0.3333333333333333,0.6666666666666666,0.037534805845286665,3.7534805845286665,Low
11.0,17.0,2,mobile phone,1,single,5,0,1.0,171.8,0,5.5,14.316666666666668,0.4166666666666667,0.16666666666666666,0.01963836768339506,1.963836768339506,Low
24.0,6.0,4,fashion,5,single,4,0,8.0,174.84,0,2.6666666666666665,6.9936,0.16,0.16,0.016023262703288885,1.6023262703288885,Low
0.0,6.0,3,laptop & accessory,3,divorced,2,0,7.0,152.96,0,0.0,152.96,2.0,3.0,0.16322528635511152,16.32252863551115,Low
3.0,6.0,3,laptop & accessory,1,single,2,0,7.0,140.11,0,0.375,35.0275,0.5,0.75,0.018250059777450315,1.8250059777450316,Low
61.0,28.0,4,grocery,1,married,6,1,1.0,303.75,0,30.5,4.899193548387097,0.0967741935483871,0.06451612903225806,0.013785061318430677,1.3785061318430678,Low
16.0,9.0,4,fashion,1,married,4,1,3.0,226.24,0,4.0,13.308235294117647,0.23529411764705882,0.23529411764705882,0.04098932928646946,4.098932928646946,Low
25.0,10.0,3,grocery,2,divorced,3,0,4.0,265.55,0,5.0,10.213461538461539,0.11538461538461539,0.11538461538461539,0.01346379808601417,1.3463798086014171,Low
9.0,22.0,4,laptop & accessory,5,married,5,0,2.0,156.47,0,3.0,15.647,0.5,0.4,0.021742948055789788,2.174294805578979,Low
8.0,8.0,4,laptop & accessory,1,married,11,0,2.0,179.84,0,2.6666666666666665,19.982222222222223,1.2222222222222223,0.4444444444444444,0.04296819143961641,4.296819143961641,Low
8.0,33.0,5,mobile phone,3,married,3,0,1.0,145.29,0,4.0,16.14333333333333,0.3333333333333333,0.5555555555555556,0.04402562283740543,4.402562283740543,Low
0.0,13.0,4,watch,4,married,2,0,3.0,123.68,0,0.0,123.68,2.0,4.0,0.4279803562804202,42.79803562804202,Medium
17.0,19.0,5,grocery,4,married,3,0,10.0,268.36,0,1.5454545454545454,14.908888888888889,0.16666666666666666,0.2777777777777778,0.030508895457122022,3.0508895457122023,Low
8.0,26.0,5,mobile phone,1,married,3,0,8.0,154.29,0,0.8888888888888888,17.14333333333333,0.3333333333333333,0.5555555555555556,0.02538826545046623,2.538826545046623,Low
3.0,13.0,3,watch,1,single,1,0,7.0,125.64,0,0.375,31.41,0.25,0.75,0.024767671748205333,2.4767671748205333,Low
0.0,8.0,3,laptop & accessory,3,single,2,1,4.0,144.78,0,0.0,144.78,2.0,3.0,0.6509175045718723,65.09175045718723,Medium
4.0,32.0,3,watch,3,married,2,0,3.0,129.11,0,1.0,25.822000000000003,0.4,0.6,0.026535028143603024,2.6535028143603023,Low
1.0,10.0,4,mobile phone,5,married,7,0,3.0,165.31,1,0.25,82.655,3.5,2.0,0.6955623719361924,69.55623719361924,Medium
1.0,16.0,4,mobile phone,1,single,3,0,1.0,135.81,1,0.5,67.905,1.5,2.0,0.43825483199396886,43.825483199396885,Medium
1.0,31.0,6,mobile phone,1,single,3,1,1.0,148.4,1,0.5,74.2,1.5,3.0,0.7913225157959844,79.13225157959845,High
0.0,16.0,3,laptop & accessory,2,single,1,0,1.0,149.5,0,0.0,149.5,1.0,3.0,0.3014132523209029,30.14132523209029,Medium
1.0,16.0,3,laptop & accessory,3,single,4,0,7.0,136.6,0,0.125,68.3,2.0,1.5,0.40673457429030097,40.673457429030094,Medium
13.0,21.0,4,fashion,3,married,2,0,12.0,204.35,0,1.0,14.596428571428572,0.14285714285714285,0.2857142857142857,0.05832359372998512,5.832359372998512,Low
5.0,12.0,4,laptop & accessory,3,married,3,0,3.0,208.46,0,1.25,34.74333333333333,0.5,0.6666666666666666,0.02453681759346624,2.4536817593466242,Low
0.0,13.0,3,watch,3,married,2,0,3.0,125.17,0,0.0,125.17,2.0,3.0,0.3187866235685332,31.878662356853322,Medium
15.0,13.0,4,fashion,3,single,3,0,3.0,217.41,0,3.75,13.588125,0.1875,0.25,0.06469656858944259,6.4696568589442585,Low
24.0,14.0,4,fashion,4,divorced,6,0,3.0,224.9,0,6.0,8.996,0.24,0.16,0.01494954738434875,1.494954738434875,Low
8.0,16.0,5,fashion,4,single,3,0,3.0,211.21,0,2.0,23.46777777777778,0.3333333333333333,0.5555555555555556,0.09088705537373841,9.08870553737384,Low
14.0,14.0,3,laptop & accessory,4,married,6,0,4.0,143.93,0,2.8,9.595333333333334,0.4,0.2,0.017253687754368533,1.7253687754368534,Low
5.0,15.0,5,laptop & accessory,1,married,1,0,7.0,146.68,0,0.625,24.44666666666667,0.16666666666666666,0.8333333333333334,0.015123742281424112,1.5123742281424113,Low
9.0,11.0,4,laptop & accessory,3,single,3,1,2.0,167.49,0,3.0,16.749000000000002,0.3,0.4,0.04103609347840936,4.103609347840936,Low
1.0,31.0,4,mobile phone,2,divorced,2,0,2.0,149.0,0,0.3333333333333333,74.5,1.0,2.0,0.191769437523459,19.176943752345903,Low
0.0,6.0,3,laptop & accessory,4,divorced,1,1,4.0,163.49,0,0.0,163.49,1.0,3.0,0.25577159900532304,25.577159900532305,Low
7.0,8.0,3,laptop & accessory,5,single,1,1,2.0,145.38,0,2.3333333333333335,18.1725,0.125,0.375,0.035569549254318586,3.5569549254318584,Low
6.0,12.0,4,laptop & accessory,4,married,3,0,4.0,190.24,0,1.2,27.177142857142858,0.42857142857142855,0.5714285714285714,0.019295174201305894,1.9295174201305894,Low
1.0,10.0,4,mobile phone,1,single,3,1,1.0,140.69,1,0.5,70.345,1.5,2.0,0.7126606787119458,71.26606787119458,High
9.0,18.0,4,fashion,2,single,1,0,8.0,188.58,0,1.0,18.858,0.1,0.4,0.04964546575756832,4.964546575756832,Low
8.0,11.0,4,fashion,1,married,4,1,3.0,222.13,0,2.0,24.68111111111111,0.4444444444444444,0.4444444444444444,0.04749534150187572,4.749534150187571,Low
9.0,6.0,3,watch,1,married,4,0,2.0,122.7,0,3.0,12.27,0.4,0.3,0.030280258183294457,3.0280258183294455,Low
11.0,22.0,3,laptop & accessory,4,single,3,0,2.0,141.98,0,3.6666666666666665,11.831666666666665,0.25,0.25,0.027679706232829816,2.7679706232829817,Low
4.0,10.0,4,mobile phone,1,married,6,0,5.0,145.97,0,0.6666666666666666,29.194,1.2,0.8,0.02753923655878272,2.753923655878272,Low
25.0,10.0,4,grocery,4,single,5,0,1.0,262.34,0,12.5,10.09,0.19230769230769232,0.15384615384615385,0.014723267482487753,1.4723267482487752,Low
2.0,19.0,4,laptop & accessory,4,married,5,1,3.0,140.25,0,0.5,46.75,1.6666666666666667,1.3333333333333333,0.3159077425456965,31.59077425456965,Medium
30.0,6.0,3,fashion,2,divorced,4,1,3.0,219.04,0,7.5,7.065806451612903,0.12903225806451613,0.0967741935483871,0.013865713310027408,1.3865713310027408,Low
18.0,10.0,5,fashion,3,married,5,0,3.0,197.56,0,4.5,10.397894736842105,0.2631578947368421,0.2631578947368421,0.032334741064410456,3.2334741064410455,Low
19.0,32.0,4,laptop & accessory,4,single,9,0,2.0,179.91,0,6.333333333333333,8.9955,0.45,0.2,0.03993048027539242,3.993048027539242,Low
9.0,15.0,3,watch,1,married,4,0,3.0,120.75,0,2.25,12.075,0.4,0.3,0.05170839877518152,5.170839877518151,Low
8.0,23.0,3,laptop & accessory,5,married,4,1,7.0,189.66,0,1.0,21.073333333333334,0.4444444444444444,0.3333333333333333,0.06832149607987445,6.832149607987445,Low
0.0,30.0,1,mobile phone,5,single,2,0,0.0,110.91,1,0.0,110.91,2.0,1.0,0.6867126760601451,68.67126760601451,Medium
8.0,32.0,3,fashion,1,single,2,1,7.0,188.37,0,1.0,20.93,0.2222222222222222,0.3333333333333333,0.11518957811456931,11.518957811456932,Low
4.0,15.0,2,fashion,5,married,2,1,8.0,239.16,0,0.4444444444444444,47.832,0.4,0.4,0.05565614477680782,5.565614477680782,Low
0.0,35.0,4,laptop & accessory,3,single,2,0,8.0,145.08,1,0.0,145.08,2.0,4.0,0.5910983855344555,59.10983855344555,Medium
2.0,23.0,4,fashion,5,single,2,0,9.0,179.88,0,0.2,59.96,0.6666666666666666,1.3333333333333333,0.1661991903414722,16.61991903414722,Low
4.0,8.0,5,watch,1,married,5,1,0.0,127.78,1,4.0,25.556,1.0,1.0,0.6224668980932085,62.246689809320856,Medium
19.0,21.0,3,others,4,married,6,0,3.0,290.81,0,4.75,14.5405,0.3,0.15,0.0232876601404677,2.3287660140467703,Low
19.0,13.0,3,watch,3,married,9,0,8.0,123.39,1,2.111111111111111,6.1695,0.45,0.15,0.03844261668715071,3.8442616687150712,Low
14.0,7.0,6,laptop & accessory,1,married,4,1,3.0,199.57,0,3.5,13.304666666666666,0.26666666666666666,0.4,0.030987282570996512,3.0987282570996513,Low
15.0,9.0,4,grocery,5,divorced,9,0,9.0,290.95,0,1.5,18.184375,0.5625,0.25,0.025936337412873565,2.5936337412873565,Low
5.0,11.0,3,laptop & accessory,4,married,2,0,3.0,165.24,0,1.25,27.540000000000003,0.3333333333333333,0.5,0.0161702507182015,1.61702507182015,Low
1.0,14.0,2,mobile phone,5,single,2,0,8.0,160.78,0,0.1111111111111111,80.39,1.0,1.0,0.19402798726214562,19.402798726214563,Low
8.0,13.0,3,watch,3,married,2,0,0.0,124.04,0,8.0,13.782222222222224,0.2222222222222222,0.3333333333333333,0.11854321158469931,11.854321158469931,Low
21.0,11.0,4,laptop & accessory,3,single,5,0,1.0,154.76,0,10.5,7.034545454545454,0.22727272727272727,0.18181818181818182,0.036368261450204144,3.6368261450204145,Low
1.0,7.0,5,mobile phone,3,married,8,1,3.0,153.0,1,0.25,76.5,4.0,2.5,0.7870838352199454,78.70838352199453,High
24.0,12.0,4,watch,3,single,1,0,7.0,128.38,0,3.0,5.1352,0.04,0.16,0.014435422530191158,1.4435422530191158,Low
14.0,16.0,3,laptop & accessory,1,single,8,0,10.0,162.3,0,1.2727272727272727,10.82,0.5333333333333333,0.2,0.018204088862606552,1.8204088862606553,Low
13.0,13.0,3,watch,1,married,9,0,0.0,124.06,0,13.0,8.861428571428572,0.6428571428571429,0.21428571428571427,0.100675512051794,10.067551205179399,Low
0.0,10.0,3,laptop & accessory,3,divorced,2,1,3.0,141.62,0,0.0,141.62,2.0,3.0,0.5270809739623374,52.70809739623375,Medium
21.0,10.0,4,grocery,3,married,11,1,14.0,262.7,0,1.4,11.94090909090909,0.5,0.18181818181818182,0.1078107713628426,10.78107713628426,Low
29.0,9.0,5,mobile phone,1,married,10,0,5.0,151.62,0,4.833333333333333,5.054,0.3333333333333333,0.16666666666666666,0.014790009988067617,1.4790009988067616,Low
7.0,14.0,3,laptop & accessory,5,married,4,0,0.0,151.21,0,7.0,18.90125,0.5,0.375,0.03256138788705028,3.256138788705028,Low
14.0,15.0,4,laptop & accessory,5,married,4,1,1.0,190.16,0,7.0,12.677333333333333,0.26666666666666666,0.26666666666666666,0.05132503022190753,5.132503022190753,Low
5.0,9.0,6,mobile phone,1,married,6,1,1.0,152.78,1,2.5,25.463333333333335,1.0,1.0,0.44756601167903387,44.75660116790338,Medium
5.0,14.0,5,mobile phone,3,married,5,0,3.0,148.29,0,1.25,24.715,0.8333333333333334,0.8333333333333334,0.040145894345011195,4.0145894345011195,Low
2.0,15.0,5,mobile phone,2,married,3,0,5.0,174.36,0,0.3333333333333333,58.120000000000005,1.0,1.6666666666666667,0.0412946054385882,4.12946054385882,Low
3.0,7.0,6,mobile phone,2,married,3,0,9.0,152.2,0,0.3,38.05,0.75,1.5,0.022317506534934115,2.2317506534934117,Low
0.0,12.0,3,mobile phone,1,married,2,1,2.0,56.0,0,0.0,56.0,2.0,3.0,0.6069532180541396,60.69532180541396,Medium
11.0,20.0,3,laptop & accessory,4,married,1,0,7.0,199.24,0,1.375,16.603333333333335,0.08333333333333333,0.25,0.017731798986238133,1.7731798986238132,Low
6.0,6.0,1,grocery,3,married,5,0,5.0,261.84,0,1.0,37.40571428571428,0.7142857142857143,0.14285714285714285,0.01787949418368904,1.787949418368904,Low
2.0,15.0,5,mobile phone,1,married,3,0,5.0,174.36,0,0.3333333333333333,58.120000000000005,1.0,1.6666666666666667,0.04048816390003629,4.048816390003629,Low
1.0,9.0,4,mobile phone,4,married,6,0,3.0,146.87,0,0.25,73.435,3.0,2.0,0.6958046848229946,69.58046848229947,Medium
14.0,15.0,3,fashion,3,married,4,1,7.0,181.89,0,1.75,12.126,0.26666666666666666,0.2,0.0930247946756913,9.30247946756913,Low
3.0,11.0,4,mobile phone,2,married,10,0,3.0,137.61,0,0.75,34.4025,2.5,1.0,0.07149915144319925,7.149915144319925,Low
26.0,9.0,5,mobile phone,2,single,9,0,3.0,157.12,0,6.5,5.819259259259259,0.3333333333333333,0.18518518518518517,0.015155681778226219,1.5155681778226218,Low
1.0,20.0,5,laptop & accessory,5,married,7,1,3.0,186.34,1,0.25,93.17,3.5,2.5,0.7830460139652786,78.30460139652786,High
5.0,16.0,3,laptop & accessory,1,single,9,0,0.0,146.48,0,5.0,24.41333333333333,1.5,0.5,0.0814373463314044,8.14373463314044,Low
13.0,14.0,3,laptop & accessory,5,married,3,1,0.0,165.16,0,13.0,11.797142857142857,0.21428571428571427,0.21428571428571427,0.03768651488245609,3.768651488245609,Low
4.0,8.0,3,laptop & accessory,2,single,5,1,5.0,165.82,0,0.6666666666666666,33.164,1.0,0.6,0.07546740543090218,7.546740543090218,Low
0.0,13.0,3,watch,2,divorced,1,0,1.0,124.0,0,0.0,124.0,1.0,3.0,0.3940999360227795,39.40999360227795,Medium
1.0,32.0,5,mobile phone,4,single,6,1,3.0,148.13,1,0.25,74.065,3.0,2.5,0.8116203268449359,81.1620326844936,High
30.0,11.0,4,others,5,married,6,0,3.0,324.43,0,7.5,10.465483870967741,0.1935483870967742,0.12903225806451613,0.014330609337742984,1.4330609337742983,Low
0.0,26.0,5,laptop & accessory,3,divorced,4,1,2.0,145.59,1,0.0,145.59,4.0,5.0,0.7928886361187294,79.28886361187294,High
9.0,8.0,4,watch,3,single,7,1,0.0,120.9,1,9.0,12.09,0.7,0.4,0.7776448273712052,77.76448273712052,High
17.0,11.0,5,fashion,2,single,5,0,3.0,227.31,0,4.25,12.628333333333334,0.2777777777777778,0.2777777777777778,0.06568821569937325,6.568821569937325,Low
26.0,15.0,4,mobile phone,5,divorced,11,0,5.0,154.5,0,4.333333333333333,5.722222222222222,0.4074074074074074,0.14814814814814814,0.015983549445639306,1.5983549445639307,Low
5.0,25.0,1,watch,3,married,7,1,2.0,127.59,1,1.6666666666666667,21.265,1.1666666666666667,0.16666666666666666,0.6203794152852053,62.037941528520534,Medium
0.0,13.0,4,watch,3,divorced,2,0,2.0,125.39,0,0.0,125.39,2.0,4.0,0.4354386629367418,43.543866293674185,Medium
19.0,6.0,3,fashion,5,married,2,0,7.0,204.53,0,2.375,10.2265,0.1,0.15,0.022807853772287216,2.2807853772287214,Low
8.0,13.0,4,watch,5,single,2,0,2.0,124.5,0,2.6666666666666665,13.833333333333334,0.2222222222222222,0.4444444444444444,0.07106463968950372,7.106463968950372,Low
9.0,12.0,3,laptop & accessory,3,married,3,1,5.0,123.06,0,1.5,12.306000000000001,0.3,0.3,0.13778356307323453,13.778356307323453,Low
9.0,9.0,3,mobile phone,1,married,2,0,0.0,117.06,0,9.0,11.706,0.2,0.3,0.2775821858685867,27.758218586858668,Low
1.0,20.0,5,mobile phone,5,married,6,1,1.0,148.35,1,0.5,74.175,3.0,2.5,0.80212462731873,80.212462731873,High
9.0,13.0,3,mobile phone,2,single,3,0,1.0,146.78,0,4.5,14.678,0.3,0.3,0.032537396948984,3.2537396948983996,Low
1.0,10.0,4,mobile phone,3,single,3,0,8.0,165.84,1,0.1111111111111111,82.92,1.5,2.0,0.40046817211706054,40.046817211706056,Medium
8.0,11.0,4,laptop & accessory,3,divorced,11,0,3.0,190.38,0,2.0,21.153333333333332,1.2222222222222223,0.4444444444444444,0.05750485549349056,5.750485549349056,Low
26.0,7.0,4,grocery,3,married,5,1,3.0,229.65,0,6.5,8.505555555555556,0.18518518518518517,0.14814814814814814,0.015000864307299296,1.5000864307299295,Low
2.0,16.0,4,mobile phone,3,married,7,0,3.0,148.77,0,0.5,49.59,2.3333333333333335,1.3333333333333333,0.12539159988593046,12.539159988593045,Low
9.0,22.0,3,watch,3,single,2,0,4.0,121.44,0,1.8,12.144,0.2,0.3,0.1114056779288953,11.14056779288953,Low
4.0,14.0,4,laptop & accessory,3,married,3,0,10.0,159.91,0,0.36363636363636365,31.982,0.6,0.8,0.017380757668914514,1.7380757668914515,Low
16.0,30.0,4,grocery,2,single,4,0,1.0,284.92,0,8.0,16.76,0.23529411764705882,0.23529411764705882,0.022758831594773456,2.2758831594773454,Low
1.0,12.0,4,mobile phone,4,single,3,1,3.0,149.78,0,0.25,74.89,1.5,2.0,0.7333978780580996,73.33978780580996,High
9.0,23.0,4,fashion,3,married,6,1,1.0,201.32,0,4.5,20.131999999999998,0.6,0.4,0.3719743226869361,37.19743226869361,Medium
2.0,26.0,3,mobile phone,1,married,2,0,10.0,138.12,0,0.18181818181818182,46.04,0.6666666666666666,1.0,0.027491266305481977,2.7491266305481976,Low
10.0,14.0,3,laptop & accessory,4,married,3,0,7.0,140.71,0,1.25,12.791818181818183,0.2727272727272727,0.2727272727272727,0.016050445905116832,1.6050445905116832,Low
1.0,14.0,5,laptop & accessory,3,divorced,4,0,1.0,186.32,0,0.5,93.16,2.0,2.5,0.5829337359094944,58.293373590949436,Medium
23.0,13.0,3,watch,1,married,5,0,0.0,123.8,0,23.0,5.158333333333333,0.20833333333333334,0.125,0.020142011345383355,2.0142011345383355,Low
21.0,9.0,2,grocery,4,married,8,0,3.0,284.72,0,5.25,12.941818181818183,0.36363636363636365,0.09090909090909091,0.015234857639259757,1.5234857639259758,Low
26.0,13.0,4,fashion,1,married,8,1,3.0,209.34,0,6.5,7.753333333333334,0.2962962962962963,0.14814814814814814,0.017201533730930176,1.7201533730930176,Low
11.0,16.0,3,laptop & accessory,3,married,4,0,2.0,160.77,0,3.6666666666666665,13.3975,0.3333333333333333,0.25,0.018107298277655046,1.8107298277655046,Low
31.0,10.0,5,laptop & accessory,1,single,7,0,6.0,176.71,0,4.428571428571429,5.5221875,0.21875,0.15625,0.016441128511117932,1.6441128511117933,Low
14.0,12.0,5,fashion,5,divorced,7,1,3.0,229.75,0,3.5,15.316666666666666,0.4666666666666667,0.3333333333333333,0.2619675563282572,26.19675563282572,Low
4.0,11.0,3,laptop & accessory,5,single,1,0,7.0,199.36,0,0.5,39.872,0.2,0.6,0.02993901357765737,2.993901357765737,Low
17.0,34.0,3,grocery,5,divorced,4,0,17.0,263.28,0,0.9444444444444444,14.626666666666665,0.2222222222222222,0.16666666666666666,0.022340297799558904,2.2340297799558906,Low
7.0,10.0,3,laptop & accessory,3,married,10,0,2.0,165.38,0,2.3333333333333335,20.6725,1.25,0.375,0.03028663379597052,3.028663379597052,Low
20.0,8.0,3,others,4,single,8,1,8.0,292.46,1,2.2222222222222223,13.926666666666666,0.38095238095238093,0.14285714285714285,0.3964832710159773,39.64832710159773,Medium
8.0,29.0,5,laptop & accessory,1,married,3,1,12.0,182.47,0,0.6153846153846154,20.274444444444445,0.3333333333333333,0.5555555555555556,0.02420734560423855,2.420734560423855,Low
1.0,16.0,6,mobile phone,4,single,3,0,3.0,152.6,1,0.25,76.3,1.5,3.0,0.6396840445506502,63.96840445506502,Medium
17.0,31.0,4,fashion,5,single,8,1,3.0,229.48,1,4.25,12.748888888888889,0.4444444444444444,0.2222222222222222,0.49527595326521184,49.52759532652119,Medium
27.0,13.0,4,laptop & accessory,3,divorced,4,1,6.0,148.06,0,3.857142857142857,5.287857142857143,0.14285714285714285,0.14285714285714285,0.015296450935204537,1.5296450935204537,Low
16.0,7.0,5,laptop & accessory,2,divorced,11,1,3.0,185.62,0,4.0,10.918823529411766,0.6470588235294118,0.29411764705882354,0.1402248202850204,14.02248202850204,Low
16.0,9.0,4,laptop & accessory,1,married,3,0,3.0,165.89,0,4.0,9.758235294117647,0.17647058823529413,0.23529411764705882,0.015298823182124294,1.5298823182124295,Low
9.0,13.0,3,mobile phone,3,married,2,0,0.0,112.74,0,9.0,11.274,0.2,0.3,0.29483770592436953,29.483770592436954,Low
